teamID,W,L
ARI,64,98
ATL,79,83
BAL,96,66
BOS,71,91
CHA,73,89
CHN,73,89
CIN,76,86
CLE,85,77
COL,66,96
DET,90,72
HOU,70,92
KCA,89,73
LAA,98,64
LAN,94,68
MIA,77,85
MIL,82,80
MIN,70,92
NYA,84,78
NYN,79,83
OAK,88,74
PHI,73,89
PIT,88,74
SDN,77,85
SEA,87,75
SFN,88,74
SLN,90,72
TBA,77,85
TEX,67,95
TOR,83,79
WAS,96,66
ARI,79,83
ATL,67,95
BAL,81,81
BOS,78,84
CHA,76,86
CHN,97,65
CIN,64,98
CLE,81,80
COL,68,94
DET,74,87
HOU,86,76
KCA,95,67
LAA,85,77
LAN,92,70
MIA,71,91
MIL,68,94
MIN,83,79
NYA,87,75
NYN,90,72
OAK,68,94
PHI,63,99
PIT,98,64
SDN,74,88
SEA,76,86
SFN,84,78
SLN,100,62
TBA,80,82
TEX,88,74
TOR,93,69
WAS,83,79
ARI,69,93
ATL,68,93
BAL,89,73
BOS,93,69
CHA,78,84
CHN,103,58
CIN,68,94
CLE,94,67
COL,75,87
DET,86,75
HOU,84,78
KCA,81,81
LAA,74,88
LAN,91,71
MIA,79,82
MIL,73,89
MIN,59,103
NYA,84,78
NYN,87,75
OAK,69,93
PHI,71,91
PIT,78,83
SDN,68,94
SEA,86,76
SFN,87,75
SLN,86,76
TBA,68,94
TEX,95,67
TOR,89,73
WAS,95,67
ARI,93,69
ATL,72,90
BAL,75,87
BOS,93,69
CHA,67,95
CHN,92,70
CIN,68,94
CLE,102,60
COL,87,75
DET,64,98
HOU,101,61
KCA,80,82
LAA,80,82
LAN,104,58
MIA,77,85
MIL,86,76
MIN,85,77
NYA,91,71
NYN,70,92
OAK,75,87
PHI,66,96
PIT,75,87
SDN,71,91
SEA,78,84
SFN,64,98
SLN,83,79
TBA,80,82
TEX,78,84
TOR,76,86
WAS,97,65
ARI,82,80
ATL,90,72
BAL,47,115
BOS,108,54
CHA,62,100
CHN,95,68
CIN,67,95
CLE,91,71
COL,91,72
DET,64,98
HOU,103,59
KCA,58,104
LAA,80,82
LAN,92,71
MIA,63,98
MIL,96,67
MIN,78,84
NYA,100,62
NYN,77,85
OAK,97,65
PHI,80,82
PIT,82,79
SDN,66,96
SEA,89,73
SFN,73,89
SLN,88,74
TBA,90,72
TEX,67,95
TOR,73,89
WAS,82,80
